[debug] elbow QVEL: -1000.3814850005685, Shoulder QVEL: 511.93869137726256
[debug] elbow QVEL: -1004.4746167213791, Shoulder QVEL: 512.5113085242182
[debug] elbow QVEL: -1009.3290220997876, Shoulder QVEL: 514.094413953668
[debug] elbow QVEL: -1014.4181530851497, Shoulder QVEL: 517.1621021016523
[debug] elbow QVEL: -1024.113092245343, Shoulder QVEL: 523.1376707160858
[debug] elbow QVEL: -1029.4101446309185, Shoulder QVEL: 525.472940355754
[debug] elbow QVEL: -1037.0924909888633, Shoulder QVEL: 529.6207502438963
[debug] elbow QVEL: -1041.1007265616965, Shoulder QVEL: 530.093688847351
[debug] elbow QVEL: -1046.0862749665523, Shoulder QVEL: 531.5839266205672
[debug] elbow QVEL: -1051.4552187690215, Shoulder QVEL: 534.6148825515163
[debug] elbow QVEL: -1055.5984761450702, Shoulder QVEL: 539.5025559291428
[debug] elbow QVEL: -1056.7175296492896, Shoulder QVEL: 539.4043574986125
[debug] elbow QVEL: -1059.8478847969373, Shoulder QVEL: 539.5567829818964
[debug] elbow QVEL: -1064.4364442802926, Shoulder QVEL: 540.4245649337465
[debug] elbow QVEL: -1069.8029503988184, Shoulder QVEL: 542.5951125506275
[debug] elbow QVEL: -1075.3167917547291, Shoulder QVEL: 546.6493110258995
[debug] elbow QVEL: -1077.2950280652058, Shoulder QVEL: 552.6755093942767
[debug] elbow QVEL: -1076.2533227236552, Shoulder QVEL: 552.5352939442465
[debug] elbow QVEL: -1077.6166745037242, Shoulder QVEL: 552.4466753398199
[debug] elbow QVEL: -1081.1464834446751, Shoulder QVEL: 552.5994884920013
[debug] elbow QVEL: -1086.1907947083082, Shoulder QVEL: 553.5439964942648
[debug] elbow QVEL: -1091.968882809902, Shoulder QVEL: 555.9624201644739
[debug] elbow QVEL: -1097.8413621248005, Shoulder QVEL: 560.4412262793802
[debug] elbow QVEL: -1109.359859025476, Shoulder QVEL: 568.9170075828124
[debug] elbow QVEL: -1115.7906351381057, Shoulder QVEL: 572.2656513488566
[debug] elbow QVEL: -1121.9706291179941, Shoulder QVEL: 577.9490905590513
[debug] elbow QVEL: -1124.6148413128858, Shoulder QVEL: 577.8928161270308
[debug] elbow QVEL: -1129.4434648328286, Shoulder QVEL: 578.3445383892191
[debug] elbow QVEL: -1135.568688026518, Shoulder QVEL: 580.0614428195762
[debug] elbow QVEL: -1142.1363401556544, Shoulder QVEL: 583.7979333215068
[debug] elbow QVEL: -1143.0713727143848, Shoulder QVEL: 589.400656602312
